X;Y;type;name;address;com_insee;com_nom;geometry
2.45743;48.7798898997469;restaurant;Indiana Café;;94028;Créteil;POINT (2.45743 48.7798898997469)
2.5601001;48.795616699743;variety_store;Action;;94019;Chennevières-sur-Marne;POINT (2.5601001 48.795616699743)
2.5381194;48.8031999997411;restaurant;L'Itlalien;;94019;Chennevières-sur-Marne;POINT (2.5381194 48.8031999997411)
2.5353399;48.7261444997602;cafe;Salon de Thé;;94075;Villecresnes;POINT (2.5353399 48.7261444997602)
2.4236802;48.7979217997424;restaurant;;;94002;Alfortville;POINT (2.4236802 48.7979217997424)
2.46292876114165;48.791818820483;restaurant;Le Village du bonheur;7 Rue d'Estienne d'Orves;94028;Créteil;POINT (2.46292876114165 48.791818820483)
2.49849025568717;48.774080464499;supermarket;Lidl;;94071;Sucy-en-Brie;POINT (2.49849025568717 48.774080464499)
2.5754056;48.7899263997444;bakery;Point Chaud;;94060;La Queue-en-Brie;POINT (2.5754056 48.7899263997444)
2.55257347784409;48.7945790596163;fast_food;McDonald's;;94055;Ormesson-sur-Marne;POINT (2.55257347784409 48.7945790596163)
2.48360225945482;48.7581210852518;supermarket;Lidl;;94011;Bonneuil-sur-Marne;POINT (2.48360225945482 48.7581210852518)
2.5202737;48.7699498997494;restaurant;Gourmet Royal;;94071;Sucy-en-Brie;POINT (2.5202737 48.7699498997494)
2.44478486126447;48.7931980488726;restaurant;Réstaurant universitaire;;94028;Créteil;POINT (2.44478486126447 48.7931980488726)
2.5327477;48.7202616997617;cafe;;;94075;Villecresnes;POINT (2.5327477 48.7202616997617)
2.4546496;48.8024372997413;pharmacy;Pharmacie des Bouleaux;;94028;Créteil;POINT (2.4546496 48.8024372997413)
2.5316097;48.7617328997514;cafe;Tabac du Plateau;;94071;Sucy-en-Brie;POINT (2.5316097 48.7617328997514)
2.4568148;48.7798091997469;fast_food;Burger King;101 Avenue du Général de Gaulle;94028;Créteil;POINT (2.4568148 48.7798091997469)
2.5748371;48.7897278997445;bakery;Point Chaud, Pain Chaud;;94060;La Queue-en-Brie;POINT (2.5748371 48.7897278997445)
2.4140452;48.8146700997383;restaurant;Sushi d'Alfortville;19 Rue Véron;94002;Alfortville;POINT (2.4140452 48.8146700997383)
2.44415161228162;48.7861049087063;cinema;Cinéma du Palais;;94028;Créteil;POINT (2.44415161228162 48.7861049087063)
2.5050411;48.7738825997484;restaurant;L'Open;;94071;Sucy-en-Brie;POINT (2.5050411 48.7738825997484)
2.4141052;48.8137231997385;restaurant;Chic and Cook;35 Rue Véron;94002;Alfortville;POINT (2.4141052 48.8137231997385)
2.4228382;48.8041076997409;cafe;Le Concorde;;94002;Alfortville;POINT (2.4228382 48.8041076997409)
2.54985678187263;48.7575495755183;bakery;Rêve Gourmand;;94071;Sucy-en-Brie;POINT (2.54985678187263 48.7575495755183)
2.42160165480896;48.8013290349269;restaurant;Belle Citronnelle;;94002;Alfortville;POINT (2.42160165480896 48.8013290349269)
2.4300141;48.7865940997453;cafe;;;94002;Alfortville;POINT (2.4300141 48.7865940997453)
2.4561426;48.7791573997471;sports;Adidas;;94028;Créteil;POINT (2.4561426 48.7791573997471)
2.4634513;48.7923836997438;cafe;Le Village;;94028;Créteil;POINT (2.4634513 48.7923836997438)
2.55800013568879;48.7593827399796;restaurant;Le Tartarin;;94071;Sucy-en-Brie;POINT (2.55800013568879 48.7593827399796)
2.4561111;48.7805555997468;restaurant;Ristorante Del Arte;110 Avenue du Général de Gaulle;94028;Créteil;POINT (2.4561111 48.7805555997468)
2.5774901;48.8057909997405;pharmacy;Pharmacie de l'Espace Paul Valéry;;94059;Le Plessis-Trévise;POINT (2.5774901 48.8057909997405)
2.4544957;48.8023482997414;bakery;Les Délices des Bordières;;94028;Créteil;POINT (2.4544957 48.8023482997414)
2.58605130312154;48.8055323965919;supermarket;Auchan Supermarché;30 Avenue Chéret;94059;Le Plessis-Trévise;POINT (2.58605130312154 48.8055323965919)
2.56733646791952;48.8123398316353;restaurant;L'Osteria du Plessis;;94059;Le Plessis-Trévise;POINT (2.56733646791952 48.8123398316353)
2.4252098;48.799520499742;pharmacy;Pharmacie Émile Zola;;94002;Alfortville;POINT (2.4252098 48.799520499742)
2.4618696;48.7884202997448;restaurant;Délices du Vietnam;;94028;Créteil;POINT (2.4618696 48.7884202997448)
2.5050209;48.7519446997538;fast_food;RDV ici;;94004;Boissy-Saint-Léger;POINT (2.5050209 48.7519446997538)
2.4663889;48.7772582997476;cinema;La Lucarne;100 Rue Juliette Savar;94028;Créteil;POINT (2.4663889 48.7772582997476)
2.4862558;48.7738203997484;bakery;Maison Yasin;;94011;Bonneuil-sur-Marne;POINT (2.4862558 48.7738203997484)
2.5591265;48.7954682997431;restaurant;;;94019;Chennevières-sur-Marne;POINT (2.5591265 48.7954682997431)
2.4494617;48.7896616997445;pharmacy;Pharmacie de la Levrière;;94028;Créteil;POINT (2.4494617 48.7896616997445)
2.4918808;48.7654688997505;fast_food;Le Comptoir;;94011;Bonneuil-sur-Marne;POINT (2.4918808 48.7654688997505)
2.4918088703297;48.765719522192;mall;Bonneuil Shopping Parc;;94011;Bonneuil-sur-Marne;POINT (2.4918088703297 48.765719522192)
2.531658;48.7819420997464;restaurant;Les Jardins de Majorelle;;94055;Ormesson-sur-Marne;POINT (2.531658 48.7819420997464)
2.49258751055294;48.7651244024084;sports;Intersport;;94011;Bonneuil-sur-Marne;POINT (2.49258751055294 48.7651244024084)
2.4250266;48.795889599743;bakery;;;94002;Alfortville;POINT (2.4250266 48.795889599743)
2.5546787;48.7936190997435;pharmacy;;;94055;Ormesson-sur-Marne;POINT (2.5546787 48.7936190997435)
2.4134664;48.8144435997383;fast_food;Frango assado;14 Rue Charles de Gaulle;94002;Alfortville;POINT (2.4134664 48.8144435997383)
2.54165713563287;48.7995352520514;restaurant;Le Dua;;94019;Chennevières-sur-Marne;POINT (2.54165713563287 48.7995352520514)
2.4603335;48.7939036997434;restaurant;Brasserie Le Paris;7 Rue de Paris;94028;Créteil;POINT (2.4603335 48.7939036997434)
2.50629261789129;48.7480397450556;bakery;;;94004;Boissy-Saint-Léger;POINT (2.50629261789129 48.7480397450556)
2.4144968;48.8089714997397;restaurant;Le Petit Paradis;119 Rue Véron;94002;Alfortville;POINT (2.4144968 48.8089714997397)
2.4476407;48.7765520997478;fast_food;;;94028;Créteil;POINT (2.4476407 48.7765520997478)
2.4256044;48.7893425997446;internet_cafe;Syma;Rue Étienne Dolet;94002;Alfortville;POINT (2.4256044 48.7893425997446)
2.4194638;48.8059342997404;books;L'établi;;94002;Alfortville;POINT (2.4194638 48.8059342997404)
2.42224857078529;48.8004161600661;pharmacy;Pharmacie de la gare;;94002;Alfortville;POINT (2.42224857078529 48.8004161600661)
2.5845779;48.8056783997405;restaurant;Tokyo Sushi;3 Place de Verdun;94059;Le Plessis-Trévise;POINT (2.5845779 48.8056783997405)
2.529852;48.7869857997452;pharmacy;Népenthès;;94019;Chennevières-sur-Marne;POINT (2.529852 48.7869857997452)
2.4554692;48.779434799747;pharmacy;Pharmacie Soumet Cap Santé 2;;94028;Créteil;POINT (2.4554692 48.779434799747)
2.5350304;48.7258265997603;bakery;Boulangerie de la gare;;94075;Villecresnes;POINT (2.5350304 48.7258265997603)
2.5121513;48.7493672997545;fast_food;;;94004;Boissy-Saint-Léger;POINT (2.5121513 48.7493672997545)
2.45938903749741;48.7846479157437;fast_food;McDonald's;;94028;Créteil;POINT (2.45938903749741 48.7846479157437)
2.4626503;48.7929961997437;fast_food;Grill Istanbul;;94028;Créteil;POINT (2.4626503 48.7929961997437)
2.4260125;48.8017040997415;bakery;La Boulang' de la Gare;;94002;Alfortville;POINT (2.4260125 48.8017040997415)
2.5080243;48.7698123997494;fast_food;La Pizzetta;;94071;Sucy-en-Brie;POINT (2.5080243 48.7698123997494)
2.4141616;48.8100078997394;pharmacy;Pharmacie Roustan;106 Rue Véron;94002;Alfortville;POINT (2.4141616 48.8100078997394)
2.5304276;48.7871647997451;supermarket;Franprix;;94019;Chennevières-sur-Marne;POINT (2.5304276 48.7871647997451)
2.5695227232358;48.7826632834789;restaurant;La Criée;;94060;La Queue-en-Brie;POINT (2.5695227232358 48.7826632834789)
2.5723903;48.7921394997439;pharmacy;Pharmacie des Bordes;2 Avenue des Bordes;94060;La Queue-en-Brie;POINT (2.5723903 48.7921394997439)
2.5346987;48.7903908997443;pharmacy;Pharmacie du Château;;94055;Ormesson-sur-Marne;POINT (2.5346987 48.7903908997443)
2.44527919059557;48.7909453288969;supermarket;G20;287 Avenue du Général de Gaulle;94028;Créteil;POINT (2.44527919059557 48.7909453288969)
2.4188718;48.8045079997408;supermarket;Point Nature;28 Rue Victor Hugo;94002;Alfortville;POINT (2.4188718 48.8045079997408)
2.5365392;48.7278864997598;restaurant;Les Merveilles de Chine;;94075;Villecresnes;POINT (2.5365392 48.7278864997598)
2.5150222;48.7694703997495;restaurant;Wonder Eat;;94071;Sucy-en-Brie;POINT (2.5150222 48.7694703997495)
2.5059512;48.7528494997536;fast_food;Chez Bulut Dédé;;94004;Boissy-Saint-Léger;POINT (2.5059512 48.7528494997536)
